"","Strain","Well","Bact_score_mean","Mean_Bact_metf_0","Mean_Bact_metf_50","Mean_Bact_metf_100","Mean_Bact_metf_200","SD_Bact_metf_0","SD_Bact_metf_50","SD_Bact_metf_100","SD_Bact_metf_200","phylogroup","fasta","Strainname","Accession","Assembly","Annotation","Broadphenotype","PG","Plate_Well","Plate","Origin","Annotation_0mM","Annotation_50mM","phylogroup_Ctyping","mash_group_Ctyping","Discard","Notes"
"474","NT12553","B8",1.38561608543263,11.7738,9.60693333333333,5.99166666666667,0.715366666666667,1.19650907643862,0.268697531312317,0.660605875945206,1.02823512064767,"B2","NT12553_678.fasta","NILS20","PRJEB20550","678","678","Pathogenic strain","PG6","PG6_6","6","ECOREF","normal","normal","B2",NA,"No",NA
"475","NT12554","B9",1.15239101621858,14.7629,9.5119,5.79196666666667,1.70876666666667,0.494510950333762,0.755182759337103,1.31647091245243,1.45978556758633,"B2","NT12554_679.fasta","NILS21","PRJEB20550","679","679","Pathogenic strain","PG6","PG6_6","6","ECOREF","normal","normal","B2",NA,"No",NA
"476","NT12555","B10",1.18389953044331,15.8376333333333,10.9871333333333,6.54543333333333,1.2176,0.565790529554297,0.199558821737686,1.18999948459373,1.96152985447584,"A","NT12555_680.fasta","NILS22","PRJEB20550","680","680","Pathogenic strain","PG6","PG6_6","6","ECOREF","normal","normal","A","A","No",NA
"477","NT12556","B11",1.38119239066484,16.9966666666667,12.4145333333333,8.50846666666667,2.55266666666667,0.753940822169307,0.577177627194033,0.654605074325989,1.28126536023313,"D","NT12556_681.fasta","NILS23","PRJEB20550","681","681","Pathogenic strain","PG6","PG6_6","6","ECOREF","super_bio","super_bio","D","D","No",NA
"478","NT12557","B12",1.31819969278034,16.275,11.9242333333333,7.8012,1.72826666666667,0.80448589794974,0.44532774821847,1.64439089330974,1.6044986953355,"B1","NT12557_682.fasta","NILS24","PRJEB20550","682","682","Pathogenic strain","PG6","PG6_6","6","ECOREF","normal","biofilm","B1","B1","No",NA
"479","NT12558","C1",1.48837955563653,16.1009333333333,12.6515666666667,8.6476,2.66513333333333,0.701363388931396,0.31878846173181,0.195603987689413,0.874678691482383,"B2","NT12558_683.fasta","NILS25","PRJEB20550","683","683","Pathogenic strain","PG6","PG6_6","6","ECOREF","normal","normal","B2",NA,"No",NA
"480","NT12559","C2",1.22687595029849,11.5972333333333,7.7917,5.3634,1.07326666666667,0.541858674686798,0.58875567088564,0.47441375401647,0.775602509880759,"B2","NT12559_684.fasta","NILS26","PRJEB20550","684","684","Pathogenic strain","PG6","PG6_6","6","ECOREF","normal","normal","B2",NA,"No",NA
"481","NT12560","C3",1.23887139192831,16.4261333333333,11.3858666666667,8.10063333333333,0.863366666666667,0.390459861360081,0.511350137707358,1.59842264227373,0.764134479874671,"B2","NT12560_685.fasta","NILS27","PRJEB20550","685","685","Pathogenic strain","PG6","PG6_6","6","ECOREF","normal","super_bio","B2",NA,"No",NA
"482","NT12561","C4",1.56291349730571,12.3842,9.9334,6.7463,2.67573333333333,0.70994030734985,0.249489899595153,0.749968579341828,0.964991638996594,"B2","NT12561_686.fasta","NILS28","PRJEB20550","686","686","Pathogenic strain","PG6","PG6_6","6","ECOREF","normal","normal","B2",NA,"No",NA
"483","NT12562","C5",1.21481269870126,15.4021,10.5862666666667,6.65556666666667,1.46883333333333,0.0752446011352312,0.150772223348113,0.887974618631261,1.29751233648599,"B2","NT12562_687.fasta","NILS29","PRJEB20550","687","687","Pathogenic strain","PG6","PG6_6","6","ECOREF","normal","normal","B2",NA,"No",NA
"484","NT12563","C6",1.27097906693499,11.4125666666667,9.72843333333333,4.70183333333333,0.0748666666666667,0.204067398996835,0.24405225533343,1.15488012509235,0.0649855624991685,"A","NT12563_688.fasta","NILS30","PRJEB20550","688","688","Pathogenic strain","PG6","PG6_6","6","ECOREF","normal","normal","A",NA,"No",NA
"485","NT12564","C7",2.15791599220103,10.0697,9.17283333333333,7.84573333333333,4.711,0.125377509944966,0.245977648036022,0.699471238388923,0.613049174210357,"Non Escherichia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"486","NT12565","C8",1.41941335411269,13.1754666666667,9.9967,6.7806,1.92413333333333,0.14947014194592,0.703460084155455,1.21675843124262,1.67765566292173,"A","NT12565_690.fasta","NILS32","PRJEB20550","690","690","Pathogenic strain","PG6","PG6_6","6","ECOREF","normal","normal","A",NA,"No",NA
"487","NT12566","C9",1.22500016474356,15.1751,11.0685333333333,6.51836666666667,1.0026,0.245678082050475,0.303977981658759,1.33022988364167,0.935251447472818,"B1","NT12566_691.fasta","NILS33","PRJEB20550","691","691","Pathogenic strain","PG6","PG6_6","6","ECOREF","normal","biofilm","B1",NA,"No",NA
"488","NT12567","C10",1.14751132361399,15.8812666666667,11.1019333333333,6.6786,0.4434,0.648984316708296,0.409742264519214,0.920017152014026,0.654141475523453,"C","NT12567_692.fasta","NILS34","PRJEB20550","692","692","Pathogenic strain","PG6","PG6_6","6","ECOREF","normal","normal","C",NA,"No",NA
"489","NT12568","C11",1.4848658025151,11.5489,10.164,6.20626666666667,0.7783,0.350223771323421,0.147627470343429,0.909166741216007,1.33057682228423,"A","NT12568_693.fasta","NILS35","PRJEB20550","693","693","Pathogenic strain","PG6","PG6_6","6","ECOREF","normal","biofilm","A",NA,"No",NA
"490","NT12569","C12",1.33712010684144,11.8805333333333,10.0972666666667,5.62766666666667,0.160766666666667,0.226277381400204,1.2262486384634,1.15601320205841,0.248595742790043,"F","NT12569_694.fasta","NILS36","PRJEB20550","694","694","Pathogenic strain","PG6","PG6_6","6","ECOREF","normal","biofilm","F",NA,"No",NA
"491","NT12570","D1",1.86084229570811,16.5816666666667,14.1847,11.3084666666667,5.3627,0.512443170832955,0.313040684256854,0.280609788377621,0.749441999089989,"A","NT12570_695.fasta","NILS37","PRJEB20550","695","695","Pathogenic strain","PG6","PG6_6","6","ECOREF","normal","normal","A",NA,"No",NA
"492","NT12571","D2",1.34184949446908,14.6479666666667,10.5217,7.51453333333333,1.61913333333333,0.330698629167605,0.730858235227599,0.731458312778886,1.44661243024292,"D","NT12571_696.fasta","NILS38","PRJEB20550","696","696","Pathogenic strain","PG6","PG6_6","6","ECOREF","normal","super_bio","D",NA,"No",NA
"493","NT12572","D3",1.3683274242707,16.077,11.7611333333333,8.0144,2.22306666666667,0.304417000182315,0.315272807792447,0.8541243937507,0.788236140590707,"D","NT12572_697.fasta","NILS39","PRJEB20550","697","697","Pathogenic strain","PG6","PG6_6","6","ECOREF","normal","normal","D",NA,"No",NA
"494","NT12573","D4",1.3689991724951,11.7622666666667,9.69583333333333,6.36546666666667,0.0412333333333333,0.380128956188994,0.318943134952507,0.732516438950918,0.0357108293565598,"C","NT12573_698.fasta","NILS40","PRJEB20550","698","698","Pathogenic strain","PG6","PG6_6","6","ECOREF","normal","normal","C",NA,"No",NA
"495","NT12574","D5",1.79293556427046,11.1941,10.1396666666667,7.4257,2.50493333333333,0.203118118344967,0.259567569879855,0.73843172331638,1.1477458443982,"A","NT12574_699.fasta","NILS41","PRJEB20550","699","699","Pathogenic strain","PG6","PG6_6","6","ECOREF","normal","biofilm","A",NA,"No",NA
"496","NT12575","D6",1.50877708569734,12.2497,9.57963333333333,5.75613333333333,3.1463,0.148115090385822,0.516410169664903,1.15120109595732,0.376624322103605,"D","NT12575_700.fasta","NILS42","PRJEB20550","700","700","Pathogenic strain","PG6","PG6_6","6","ECOREF","normal","normal","D",NA,"No",NA
"497","NT12576","D7",1.39147483400908,11.5016333333333,10.3238666666667,5.2806,0.399766666666667,0.309151133482206,0.434942482787476,1.22353405755623,0.607144647784474,"A","NT12576_701.fasta","NILS43","PRJEB20550","701","701","Pathogenic strain","PG6","PG6_6","6","ECOREF","normal","biofilm","A",NA,"No",NA
"498","NT12577","D8",1.25249952107717,14.6161333333333,9.53543333333333,6.7891,1.98216666666667,0.447305984012435,0.285215818869384,0.770301882381187,0.764375341918702,"B2","NT12577_702.fasta","NILS44","PRJEB20550","702","702","Pathogenic strain","PG6","PG6_6","6","ECOREF","normal","normal","B2",NA,"No",NA
"499","NT12578","D9",1.33500402644029,15.8949333333333,11.8635,7.25053333333333,2.10576666666667,0.524638831324306,0.151575360794557,1.00361634768139,0.916512554924008,"E","NT12578_703.fasta","NILS45","PRJEB20550","703","703","Pathogenic strain","PG6","PG6_6","6","ECOREF","normal","super_bio","E",NA,"No",NA
"500","NT12579","D10",0.986088475075259,18.5913,11.6732,6.2929,0.366566666666667,0.578355219566661,0.0882974518318617,1.07708945310963,0.511197274379797,"E or cladeI","NT12579_704.fasta","NILS46","PRJEB20550","704","704","Pathogenic strain","PG6","PG6_6","6","ECOREF","normal","normal","E or cladeI",NA,"No",NA
"501","NT12580","D11",1.0547959740496,15.3934666666667,10.6310666666667,5.35983333333333,0.246066666666667,0.255210155231592,0.83577121470731,1.03266676296535,0.409714490021202,"C","NT12580_705.fasta","NILS47","PRJEB20550","705","705","Pathogenic strain","PG6","PG6_6","6","ECOREF","normal","super_bio","C",NA,"No",NA
"502","NT12581","D12",1.40931245171712,14.239,11.5601333333333,8.05053333333333,0.456533333333333,0.449638565961596,0.79462077328329,0.746701609301422,0.787103248204029,"C","NT12581_706.fasta","NILS48","PRJEB20550","706","706","Pathogenic strain","PG6","PG6_6","6","ECOREF","normal","super_bio","C",NA,"No",NA
"503","NT12582","E1",1.13239840741009,13.3367666666667,9.68783333333333,5.39066666666667,0.0240333333333333,0.374052527505608,0.723602552050042,0.694568076817049,0.0303582498397607,"B1","NT12582_707.fasta","NILS49","PRJEB20550","707","707","Pathogenic strain","PG6","PG6_6","6","ECOREF","normal","normal","B1",NA,"No",NA
"504","NT12583","E2",1.02615186305299,16.0587666666667,9.73436666666667,6.46733333333333,0.277033333333333,0.523094067384954,0.244340138604637,0.688700517883742,0.350906616257564,"D","NT12583_708.fasta","NILS50","PRJEB20550","708","708","Pathogenic strain","PG6","PG6_6","6","ECOREF","normal","normal","D",NA,"No",NA
"505","NT12584","E3",1.1520654837049,15.6049,10.4292666666667,6.5931,0.9555,0.497244617869313,0.356069099099224,0.872800257790979,1.23302193411147,"D","NT12584_709.fasta","NILS51","PRJEB20550","709","709","Pathogenic strain","PG6","PG6_6","6","ECOREF","biofilm","super_bio","D",NA,"No",NA
"506","NT12585","E4",1.06155195746034,16.0352333333333,10.3963,6.20243333333333,0.4235,0.369643968344316,0.262919968811804,0.492344364579644,0.513170156965504,"D","NT12585_710.fasta","NILS52","PRJEB20550","710","710","Pathogenic strain","PG6","PG6_6","6","ECOREF","super_bio","super_bio","D",NA,"No",NA
"507","NT12586","E5",1.30367464960308,12.4501666666667,7.95343333333333,6.1792,2.09833333333333,0.457834624436961,0.41079087542609,0.949829253076573,0.813730485685115,"B2","NT12586_711.fasta","NILS53","PRJEB20550","711","711","Pathogenic strain","PG6","PG6_6","6","ECOREF","normal","normal","B2",NA,"No",NA
"508","NT12587","E6",1.45166886290471,11.9902,9.66233333333333,6.4371,1.30636666666667,0.404833385480991,0.382007818419117,0.938814379949519,1.92192857394164,"B2","NT12587_712.fasta","NILS54","PRJEB20550","712","712","Pathogenic strain","PG6","PG6_6","6","ECOREF","normal","super_bio","B2",NA,"No",NA
"509","NT12588","E7",1.37355915181119,16.0640333333333,11.3075666666667,8.26383333333333,2.4935,0.5760143169517,0.446969365094895,0.491777839408542,1.44450826581228,"B2","NT12588_713.fasta","NILS55","PRJEB20550","713","713","Pathogenic strain","PG6","PG6_6","6","ECOREF","normal","super_bio","B2",NA,"No",NA
"510","NT12589","E8",1.42559589259347,14.8544666666667,11.1091666666667,7.70606666666667,2.36123333333333,0.643814774087496,0.139601444596155,0.796907236341429,2.30211483061409,"D","NT12589_714.fasta","NILS56","PRJEB20550","714","714","Pathogenic strain","PG6","PG6_6","6","ECOREF","normal","normal","D",NA,"No",NA
